id   ,customerid ,ProductID ,started             ,ended               ,category      ,created_timestamp ,users
1    ,911        ,1         ,2017-12-15 01:56:54 ,2019-05-27 07:30:16 ,other         ,9/14/2017         ,"[{""user_1"":{""id"":""18eef6c527c10c6d05eacd95b3c221df""},""user_2"":{""id"":null}}]"
2    ,677        ,2         ,2019-09-09 07:23:32 ,2019-12-20 05:35:13 ,jaffle issue  ,2/10/2018         ,"[{""user_1"":{""id"":""b9965f18033375754c5cd48932c89035""},""user_2"":{""id"":""9373e5e565ff385804c403c622418f33""}}]"
3    ,923        ,3         ,2018-06-02 19:46:35 ,2018-06-01 05:55:34 ,payment issue ,10/13/2017        ,"[{""user_1"":{""id"":""ee367a0a2b7f35b95f6001ff3c23db22""},""user_2"":{""id"":""f7d8366103ec84a035fef5d6a4b41d1f""}}]"
4    ,395        ,4         ,2019-03-22 13:06:42 ,2017-06-14 22:41:04 ,jaffle issue  ,3/26/2017         ,"[{""user_1"":{""id"":""eaa488ae4358dce5d19c918b6225eeff""},""user_2"":{""id"":""6bb49100a5dde6eceab3f9cf2249022a""}}]"
5    ,235        ,5         ,2017-03-13 20:26:50 ,2018-03-31 13:11:41 ,other         ,6/10/2017         ,"[{""user_1"":{""id"":""377739e81f1bcdeadccfb8990ec7c391""},""user_2"":{""id"":null}}]"
6    ,885        ,6         ,2019-10-21 05:20:03 ,2017-08-12 02:18:03 ,other         ,12/2/2017         ,"[{""user_1"":{""id"":""94e43b6123531f5d98de641a1e952d64""},""user_2"":{""id"":null}}]"
7    ,970        ,7         ,2018-01-17 05:41:42 ,2017-11-30 14:47:00 ,other         ,8/7/2018          ,"[{""user_1"":{""id"":""b89200733891cd521c4c0da0aef237de""},""user_2"":{""id"":null}}]"
8    ,521        ,8         ,2018-09-06 00:54:59 ,2019-04-22 08:36:07 ,jaffle issue  ,11/17/2017        ,"[{""user_1"":{""id"":""0fee49bcadbc1fca1c9cce94db4f657f""},""user_2"":{""id"":""d62bfb9a2f5c7f020ac14e36b05f2cf9""}}]"
9    ,438        ,9         ,2017-03-24 22:59:57 ,2017-12-10 02:48:11 ,jaffle issue  ,4/2/2019          ,"[{""user_1"":{""id"":""49fdff9b725d43d9feaeb5a270f60ac6""},""user_2"":{""id"":""70d36c47682a80fcc71a990453b050f8""}}]"
10   ,370        ,10        ,2019-04-03 23:34:54 ,2018-07-24 20:00:00 ,jaffle issue  ,11/4/2017         ,"[{""user_1"":{""id"":""7f5bcc278b04e1ae1ca3de2e1d9ec260""},""user_2"":{""id"":null}}]"
11   ,332        ,11        ,2017-08-01 23:49:19 ,2017-02-12 02:24:35 ,jaffle issue  ,7/12/2018         ,"[{""user_1"":{""id"":""85a42d6d1ef98c7fa7935bb4e4c4ea61""},""user_2"":{""id"":""af00c639d55677138f1fe7c15ba0e2a9""}}]"
12   ,317        ,12        ,2018-05-15 08:55:10 ,2017-09-19 13:16:18 ,jaffle issue  ,10/25/2018        ,"[{""user_1"":{""id"":""2399cecf92b236f4d44e28fcafa95e42""},""user_2"":{""id"":""8fbc4c5fbce4a41e4bf0a14c132485e2""}}]"
13   ,85         ,13        ,2019-09-29 11:13:02 ,2017-08-02 21:45:13 ,other         ,4/28/2018         ,"[{""user_1"":{""id"":""ac0941644f85bc2add2d370f8aaf2302""},""user_2"":{""id"":""08893aefcbe2b3d7770f691ed28a9dd7""}}]"
14   ,584        ,14        ,2018-10-10 22:01:01 ,2019-09-28 22:05:38 ,payment issue ,11/5/2019         ,"[{""user_1"":{""id"":""ec7c10305389c2f9742146925461a974""},""user_2"":{""id"":""7efe94d32fb93bd90b142683d5155b61""}}]"
15   ,231        ,15        ,2017-10-12 06:45:58 ,2018-04-26 14:08:02 ,payment issue ,4/27/2017         ,"[{""user_1"":{""id"":""e0cee4333939958589baae6383ed81ad""},""user_2"":{""id"":null}}]"
16   ,802        ,16        ,2017-01-16 04:20:50 ,2018-08-01 16:04:34 ,other         ,8/10/2017         ,"[{""user_1"":{""id"":""d76f69aa5dafc0dbc08de595c208ae4a""},""user_2"":{""id"":""d5763f69ecdeb71b863b9ef80d55bd2f""}}]"
17   ,416        ,17        ,2019-05-18 22:30:44 ,2018-10-12 22:32:15 ,jaffle issue  ,7/5/2019          ,"[{""user_1"":{""id"":""799e5fb17d1b99076a7ade6f2c215d50""},""user_2"":{""id"":""f5fcc35eb97a67f672737a922792bce5""}}]"
18   ,390        ,18        ,2019-06-14 11:43:18 ,2019-07-16 20:53:04 ,payment issue ,10/11/2019        ,"[{""user_1"":{""id"":""f4599938e67415864fde9ab4bac1d000""},""user_2"":{""id"":null}}]"
19   ,512        ,19        ,2019-11-01 16:03:04 ,2018-12-29 21:52:12 ,other         ,3/11/2017         ,"[{""user_1"":{""id"":""b23df6f7804d1d096f6fade56d3f23e7""},""user_2"":{""id"":""1d6f0a01432cd0e3c0b8bc6d9c4e2e7e""}}]"
20   ,353        ,20        ,2018-08-07 05:40:31 ,2019-12-09 11:45:09 ,jaffle issue  ,11/30/2017        ,"[{""user_1"":{""id"":""f8ca4fd35cb0a0ff5610b576d1e22f7a""},""user_2"":{""id"":""c0c1a36d5f126d59c794cc0cf1a61a9a""}}]"
21   ,240        ,21        ,2018-08-13 16:58:10 ,2018-10-02 19:17:52 ,jaffle issue  ,2/18/2018         ,"[{""user_1"":{""id"":""6f07aa61e7cbdfb467b46f97b2071b55""},""user_2"":{""id"":""577d3bd6975dbf5c1d3362d4e10d2618""}}]"
22   ,52         ,22        ,2018-02-07 08:48:13 ,2017-09-16 00:13:02 ,other         ,10/19/2017        ,"[{""user_1"":{""id"":""b024e86fa32ff807b2ed9afeb06eb416""},""user_2"":{""id"":""2144876fda88f829d26d0ba4d798feb4""}}]"
23   ,805        ,23        ,2017-05-29 11:12:48 ,2019-09-19 15:59:09 ,other         ,12/17/2018        ,"[{""user_1"":{""id"":""b07635bbbbf7c040d0565e43beb7e1bf""},""user_2"":{""id"":""d7d502de59806be68f9585719a8698ad""}}]"
24   ,113        ,24        ,2018-04-13 22:11:30 ,2017-11-14 12:09:32 ,jaffle issue  ,6/25/2019         ,"[{""user_1"":{""id"":""da15d4da35ea22b43d494feede255886""},""user_2"":{""id"":""1e4ffdd31b523fc51534cef07ca68fb2""}}]"
25   ,80         ,25        ,2019-04-29 13:14:25 ,2017-12-23 23:55:08 ,other         ,4/4/2019          ,"[{""user_1"":{""id"":""985b5d65aa8dcc7e809dc47c5ed9111a""},""user_2"":{""id"":""7b7491ce6d880ebd63b817421dae3603""}}]"
26   ,164        ,26        ,2017-04-30 22:45:02 ,2018-02-06 06:23:24 ,other         ,3/3/2017          ,"[{""user_1"":{""id"":""d93a865879e488de786d2526bd4993b0""},""user_2"":{""id"":""01448f8cbe62bcb0fb1065f6b7388480""}}]"
27   ,615        ,27        ,2018-03-05 11:08:33 ,2019-03-25 02:50:57 ,jaffle issue  ,5/9/2018          ,"[{""user_1"":{""id"":""50713ea844ddf36c9d648c0d15a2c136""},""user_2"":{""id"":""484c3df29848fcb9f16647868d0d5bb6""}}]"
28   ,514        ,          ,2019-09-19 19:22:48 ,2018-05-31 03:39:06 ,payment issue ,                  ,"[{""user_1"":{""id"":""d9b30b76d60faa7934a84e04065b709a""},""user_2"":{""id"":""1b453c0e01948915b7c4cac2a4574487""}}]"
29   ,27         ,          ,2019-04-25 07:32:05 ,2018-10-06 14:47:08 ,jaffle issue  ,                  ,"[{""user_1"":{""id"":""cb5d681d0a961bba46b023cc11c5ee76""},""user_2"":{""id"":""8287e2654c841a2d569eabe600c955e0""}}]"
30   ,591        ,30        ,2017-03-05 17:49:17 ,2017-01-12 14:51:32 ,jaffle issue  ,10/9/2018         ,"[{""user_1"":{""id"":""cde38ab6e8a52d1cd6b69ee5f4639197""},""user_2"":{""id"":""dd3eaeef2ba0c7ab9d26ced150b9d75c""}}]"
31   ,451        ,31        ,2018-05-23 12:57:24 ,2019-01-05 23:49:50 ,jaffle issue  ,2/9/2017          ,"[{""user_1"":{""id"":""f1d67edccf13262105ad863a4780a853""},""user_2"":{""id"":null}}]"
32   ,617        ,32        ,2018-01-23 23:59:10 ,2019-01-02 20:52:55 ,payment issue ,12/31/2017        ,"[{""user_1"":{""id"":""b396c4712535f22a4a7c9e3fa0fe8cce""},""user_2"":{""id"":""49055f985d4dbf7af8434e4969833c53""}}]"
33   ,194        ,33        ,2018-06-21 04:17:49 ,2017-12-08 17:03:39 ,jaffle issue  ,3/5/2017          ,"[{""user_1"":{""id"":""4b6a017958c42ff63da66f6479e102e7""},""user_2"":{""id"":null}}]"
